"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0104004","GO:0104004","cellular response to environmental stimulus","10/262","169/6818",0.115181008402242,0.463413084388786,0.416252480361437,"TIMP1/ZFP36L1/HSPA5/SCNN1A/SCNN1B/ASCL1/AQP1/RHOB/AQP5/EGR1",10
"GO:1901342","GO:1901342","regulation of vasculature development","10/262","169/6818",0.115181008402242,0.463413084388786,0.416252480361437,"MDK/PGK1/GRN/HSPB1/XBP1/EFNA1/NAXE/AQP1/RHOB/F3",10
"GO:0044057","GO:0044057","regulation of system process","13/262","234/6818",0.115516270405769,0.464159936267739,0.416923326648582,"ENO1/IGFBP5/SPP1/SPINK1/FGA/CALCA/FGG/AGER/APOE/HSP90AA1/CHGA/AQP1/ATP1B1",13
"GO:0002833","GO:0002833","positive regulation of response to biotic stimulus","6/262","87/6818",0.117018530414395,0.468376104961874,0.420710424457593,"GRN/HLA-DRB1/PGC/TYROBP/HSP90AA1/HLA-E",6
"GO:0046631","GO:0046631","alpha-beta T cell activation","6/262","87/6818",0.117018530414395,0.468376104961874,0.420710424457593,"HLA-DRA/HLA-A/HLA-DRB1/AGER/ANXA1/HLA-E",6
"GO:0090087","GO:0090087","regulation of peptide transport","6/262","87/6818",0.117018530414395,0.468376104961874,0.420710424457593,"HLA-DRB1/SPINK1/FGA/FGG/CHGA/GRP",6
"GO:0051046","GO:0051046","regulation of secretion","15/262","279/6818",0.117503161056464,0.469024728760984,0.421293039136152,"SDC1/S100A10/SPP1/HLA-DRB1/SPINK1/FGA/FGG/APOE/ANXA1/XBP1/CHGA/GRP/VAMP8/AQP1/EZR",15
"GO:0021549","GO:0021549","cerebellum development","4/262","49/6818",0.117936585568526,0.469024728760984,0.421293039136152,"COX1/MDK/ND4/HSPA5",4
"GO:0032945","GO:0032945","negative regulation of mononuclear cell proliferation","4/262","49/6818",0.117936585568526,0.469024728760984,0.421293039136152,"HLA-DRB1/TYROBP/VSIG4/SCGB1A1",4
"GO:0050672","GO:0050672","negative regulation of lymphocyte proliferation","4/262","49/6818",0.117936585568526,0.469024728760984,0.421293039136152,"HLA-DRB1/TYROBP/VSIG4/SCGB1A1",4
"GO:1900046","GO:1900046","regulation of hemostasis","4/262","49/6818",0.117936585568526,0.469024728760984,0.421293039136152,"FGA/FGG/APOE/F3",4
"GO:0050900","GO:0050900","leukocyte migration","13/262","235/6818",0.118301373296871,0.469873060136868,0.422055037558889,"MDK/CCL2/LGALS3/BSG/CALCA/AGER/CCL18/ANXA1/CXCL17/S100A9/RAC1/CHGA/S100A14",13
"GO:0006937","GO:0006937","regulation of muscle contraction","5/262","68/6818",0.119505273702083,0.473442348689477,0.425261086898451,"ENO1/CALCA/HSP90AA1/CHGA/ATP1B1",5
"GO:0043280","GO:0043280","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","5/262","68/6818",0.119505273702083,0.473442348689477,0.425261086898451,"DAP/RACK1/S100A9/RPS3/F3",5
"GO:0017157","GO:0017157","regulation of exocytosis","6/262","88/6818",0.121793073938458,0.476219108055337,0.427755261129484,"SDC1/S100A10/FGA/FGG/ANXA1/VAMP8",6
"GO:0051017","GO:0051017","actin filament bundle assembly","6/262","88/6818",0.121793073938458,0.476219108055337,0.427755261129484,"S100A10/PFN1/RAC1/ACTG1/PLS3/EZR",6
"GO:0051896","GO:0051896","regulation of protein kinase B signaling","6/262","88/6818",0.121793073938458,0.476219108055337,0.427755261129484,"IGFBP5/H19/GPX1/RACK1/HSP90AA1/F3",6
"GO:0070665","GO:0070665","positive regulation of leukocyte proliferation","6/262","88/6818",0.121793073938458,0.476219108055337,0.427755261129484,"HLA-A/AGER/ANXA1/HLA-DPA1/HLA-E/RPS3",6
"GO:0000303","GO:0000303","response to superoxide","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"H19/PRDX1",2
"GO:0000305","GO:0000305","response to oxygen radical","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"H19/PRDX1",2
"GO:0002227","GO:0002227","innate immune response in mucosa","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"BPIFB1/FAU",2
"GO:0002313","GO:0002313","mature B cell differentiation involved in immune response","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"XBP1/LGALS1",2
"GO:0002726","GO:0002726","positive regulation of T cell cytokine production","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"B2M/HLA-A",2
"GO:0002862","GO:0002862","negative regulation of inflammatory response to antigenic stimulus","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"HLA-DRB1/GPX1",2
"GO:0030325","GO:0030325","adrenal gland development","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"MDK/ASCL1",2
"GO:0035455","GO:0035455","response to interferon-alpha","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"IFITM3/IFITM1",2
"GO:0035456","GO:0035456","response to interferon-beta","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"IFITM3/IFITM1",2
"GO:0036003","GO:0036003","positive regulation of transcription from RNA polymerase II promoter in response to stress","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"HSPA5/MUC1",2
"GO:0044058","GO:0044058","regulation of digestive system process","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"SPINK1/AQP1",2
"GO:0045116","GO:0045116","protein neddylation","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"RPL5/RPL11",2
"GO:0045907","GO:0045907","positive regulation of vasoconstriction","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"FGA/FGG",2
"GO:0050926","GO:0050926","regulation of positive chemotaxis","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"AGER/F3",2
"GO:0051882","GO:0051882","mitochondrial depolarization","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"IFI6/RACK1",2
"GO:0055090","GO:0055090","acylglycerol homeostasis","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"APOE/XBP1",2
"GO:0070328","GO:0070328","triglyceride homeostasis","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"APOE/XBP1",2
"GO:0072574","GO:0072574","hepatocyte proliferation","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"MDK/XBP1",2
"GO:0072575","GO:0072575","epithelial cell proliferation involved in liver morphogenesis","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"MDK/XBP1",2
"GO:0072576","GO:0072576","liver morphogenesis","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"MDK/XBP1",2
"GO:1903319","GO:1903319","positive regulation of protein maturation","2/262","16/6818",0.124044177726858,0.476219108055337,0.427755261129484,"ENO1/S100A10",2
"GO:0032273","GO:0032273","positive regulation of protein polymerization","4/262","50/6818",0.124553245092945,0.47640464399299,0.427921915453339,"HSP90AA1/PFN1/RAC1/RPS3",4
"GO:0044106","GO:0044106","cellular amine metabolic process","4/262","50/6818",0.124553245092945,0.47640464399299,0.427921915453339,"SAT1/OAZ1/NNMT/ODC1",4
"GO:0050818","GO:0050818","regulation of coagulation","4/262","50/6818",0.124553245092945,0.47640464399299,0.427921915453339,"FGA/FGG/APOE/F3",4
"GO:0023061","GO:0023061","signal release","11/262","194/6818",0.126538798805194,0.483281232024398,0.43409868715212,"SPP1/HLA-DRB1/SPINK1/FGA/CPE/FGG/ANXA1/CHGA/GRP/VAMP8/AQP1",11
"GO:0009749","GO:0009749","response to glucose","6/262","89/6818",0.126662682667903,0.483281232024398,0.43409868715212,"HLA-DRB1/AGER/GPX1/RACK1/XBP1/EGR1",6
"GO:0007600","GO:0007600","sensory perception","10/262","173/6818",0.128688138109756,0.489804422596887,0.439958025930286,"B2M/LUM/CCL2/CALCA/GPX1/SCNN1A/SCNN1B/PIGR/GNAS/AQP1",10
"GO:0036293","GO:0036293","response to decreased oxygen levels","10/262","173/6818",0.128688138109756,0.489804422596887,0.439958025930286,"ND5/PGK1/ZFP36L1/ENO1/ND4/AGER/MALAT1/AQP1/ATP1B1/EGR1",10
"GO:0007186","GO:0007186","G protein-coupled receptor signaling pathway","14/262","261/6818",0.129085005468553,0.490712851670895,0.440774006031036,"PSAP/CCL2/CPE/CALCA/APOE/CCL18/ANXA1/GNAS/RAC1/ALOX15B/CHGA/GRP/AREG/EZR",14
"GO:0031099","GO:0031099","regeneration","7/262","110/6818",0.129890175160987,0.492566409962571,0.442438931477459,"MDK/GRN/TNC/SPP1/GPX1/ANXA1/NNMT",7
"GO:1901215","GO:1901215","negative regulation of neuron death","7/262","110/6818",0.129890175160987,0.492566409962571,0.442438931477459,"MDK/GRN/CCL2/APOE/RACK1/CHGA/HDGF",7
"GO:1903706","GO:1903706","regulation of hemopoiesis","12/262","217/6818",0.130116623149242,0.492822667898594,0.442669110566215,"B2M/MDK/ZFP36L1/HLA-DRA/HLA-B/HLA-DRB1/ISG15/TYROBP/AGER/ANXA1/XBP1/TMEM176B",12
"GO:1904375","GO:1904375","regulation of protein localization to cell periphery","5/262","70/6818",0.130719605025172,0.494502700961079,0.444178170091953,"LGALS3/AGR2/RACK1/VAMP8/EZR",5
"GO:0001676","GO:0001676","long-chain fatty acid metabolic process","4/262","51/6818",0.131323913932535,0.495580025570224,0.445145857573852,"GSTP1/GPX1/ALOX15B/EPHX1",4
"GO:1902882","GO:1902882","regulation of response to oxidative stress","4/262","51/6818",0.131323913932535,0.495580025570224,0.445145857573852,"H19/GPX1/RACK1/HSPB1",4
"GO:0033619","GO:0033619","membrane protein proteolysis","3/262","33/6818",0.131870736316484,0.496435708803075,0.445914459670074,"TIMP1/APOE/NAPSA",3
"GO:0043620","GO:0043620","regulation of DNA-templated transcription in response to stress","3/262","33/6818",0.131870736316484,0.496435708803075,0.445914459670074,"HSPA5/MUC1/EGR1",3
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization","11/262","197/6818",0.136470353605127,0.504753188871266,0.453385486763121,"AEBP1/S100A10/TMSB4X/APOE/GPX1/BRK1/PFN1/RAC1/ACTG1/DSTN/RPS3",11
"GO:0002702","GO:0002702","positive regulation of production of molecular mediator of immune response","5/262","71/6818",0.136499869808678,0.504753188871266,0.453385486763121,"B2M/HLA-A/PGC/XBP1/HLA-E",5
"GO:0030902","GO:0030902","hindbrain development","5/262","71/6818",0.136499869808678,0.504753188871266,0.453385486763121,"COX1/MDK/ND4/HSPA5/ASCL1",5
"GO:0034754","GO:0034754","cellular hormone metabolic process","5/262","71/6818",0.136499869808678,0.504753188871266,0.453385486763121,"SPP1/SCNN1B/AKR1B10/CRABP2/EGR1",5
"GO:0045621","GO:0045621","positive regulation of lymphocyte differentiation","5/262","71/6818",0.136499869808678,0.504753188871266,0.453385486763121,"MDK/HLA-DRA/HLA-DRB1/ANXA1/XBP1",5
"GO:0055067","GO:0055067","monovalent inorganic cation homeostasis","5/262","71/6818",0.136499869808678,0.504753188871266,0.453385486763121,"GRN/SCNN1A/SCNN1B/ATP5F1B/ATP1B1",5
"GO:0009746","GO:0009746","response to hexose","6/262","91/6818",0.13668103330215,0.504753188871266,0.453385486763121,"HLA-DRB1/AGER/GPX1/RACK1/XBP1/EGR1",6
"GO:0002335","GO:0002335","mature B cell differentiation","2/262","17/6818",0.137171804712597,0.504753188871266,0.453385486763121,"XBP1/LGALS1",2
"GO:0002675","GO:0002675","positive regulation of acute inflammatory response","2/262","17/6818",0.137171804712597,0.504753188871266,0.453385486763121,"ALOX5AP/HLA-E",2
"GO:0007263","GO:0007263","nitric oxide mediated signal transduction","2/262","17/6818",0.137171804712597,0.504753188871266,0.453385486763121,"SPINK1/APOE",2
"GO:0010669","GO:0010669","epithelial structure maintenance","2/262","17/6818",0.137171804712597,0.504753188871266,0.453385486763121,"TFF3/VSIG1",2
"GO:0010755","GO:0010755","regulation of plasminogen activation","2/262","17/6818",0.137171804712597,0.504753188871266,0.453385486763121,"ENO1/S100A10",2
"GO:0035025","GO:0035025","positive regulation of Rho protein signal transduction","2/262","17/6818",0.137171804712597,0.504753188871266,0.453385486763121,"COL3A1/RAC1",2
"GO:0042181","GO:0042181","ketone biosynthetic process","2/262","17/6818",0.137171804712597,0.504753188871266,0.453385486763121,"TPI1/EGR1",2
"GO:0044342","GO:0044342","type B pancreatic cell proliferation","2/262","17/6818",0.137171804712597,0.504753188871266,0.453385486763121,"IGFBP5/IGFBP4",2
"GO:0045214","GO:0045214","sarcomere organization","2/262","17/6818",0.137171804712597,0.504753188871266,0.453385486763121,"KRT19/ACTG1",2
"GO:0048730","GO:0048730","epidermis morphogenesis","2/262","17/6818",0.137171804712597,0.504753188871266,0.453385486763121,"IGFBP5/KRT17",2
"GO:0071280","GO:0071280","cellular response to copper ion","2/262","17/6818",0.137171804712597,0.504753188871266,0.453385486763121,"AQP1/MT2A",2
"GO:2000772","GO:2000772","regulation of cellular senescence","2/262","17/6818",0.137171804712597,0.504753188871266,0.453385486763121,"B2M/YBX1",2
"GO:0032231","GO:0032231","regulation of actin filament bundle assembly","4/262","52/6818",0.138243475953254,0.507725045950213,0.456054904011067,"S100A10/PFN1/RAC1/ACTG1",4
"GO:0016049","GO:0016049","cell growth","13/262","242/6818",0.138876927358417,0.507725045950213,0.456054904011067,"ENO1/IGFBP5/TNC/SPP1/IGFBP4/APOE/RACK1/HSP90AA1/S100A9/PRSS2/CRABP2/H3-3B/KRT17",13
"GO:0016485","GO:0016485","protein processing","8/262","133/6818",0.139063418142887,0.507725045950213,0.456054904011067,"PGK1/ENO1/S100A10/FGA/CPE/FGG/CTSE/F3",8
"GO:0002704","GO:0002704","negative regulation of leukocyte mediated immunity","3/262","34/6818",0.140761940527783,0.507725045950213,0.456054904011067,"HLA-B/HLA-A/HLA-E",3
"GO:0002886","GO:0002886","regulation of myeloid leukocyte mediated immunity","3/262","34/6818",0.140761940527783,0.507725045950213,0.456054904011067,"TYROBP/HLA-E/VAMP8",3
"GO:0030101","GO:0030101","natural killer cell activation","3/262","34/6818",0.140761940527783,0.507725045950213,0.456054904011067,"TYROBP/PRDX1/HLA-E",3
"GO:0030195","GO:0030195","negative regulation of blood coagulation","3/262","34/6818",0.140761940527783,0.507725045950213,0.456054904011067,"FGA/FGG/APOE",3
"GO:0031102","GO:0031102","neuron projection regeneration","3/262","34/6818",0.140761940527783,0.507725045950213,0.456054904011067,"GRN/TNC/SPP1",3
"GO:0032233","GO:0032233","positive regulation of actin filament bundle assembly","3/262","34/6818",0.140761940527783,0.507725045950213,0.456054904011067,"S100A10/PFN1/RAC1",3
"GO:0042093","GO:0042093","T-helper cell differentiation","3/262","34/6818",0.140761940527783,0.507725045950213,0.456054904011067,"HLA-DRA/HLA-DRB1/ANXA1",3
"GO:0046638","GO:0046638","positive regulation of alpha-beta T cell differentiation","3/262","34/6818",0.140761940527783,0.507725045950213,0.456054904011067,"HLA-DRA/HLA-DRB1/ANXA1",3
"GO:0050918","GO:0050918","positive chemotaxis","3/262","34/6818",0.140761940527783,0.507725045950213,0.456054904011067,"LGALS3/AGER/F3",3
"GO:0061951","GO:0061951","establishment of protein localization to plasma membrane","3/262","34/6818",0.140761940527783,0.507725045950213,0.456054904011067,"KRT18/RACK1/VAMP5",3
"GO:1901379","GO:1901379","regulation of potassium ion transmembrane transport","3/262","34/6818",0.140761940527783,0.507725045950213,0.456054904011067,"CD63/GRP/ATP1B1",3
"GO:1901616","GO:1901616","organic hydroxy compound catabolic process","3/262","34/6818",0.140761940527783,0.507725045950213,0.456054904011067,"TPI1/APOE/AKR1B10",3
"GO:1903573","GO:1903573","negative regulation of response to endoplasmic reticulum stress","3/262","34/6818",0.140761940527783,0.507725045950213,0.456054904011067,"HSPA5/RACK1/XBP1",3
"GO:2000351","GO:2000351","regulation of endothelial cell apoptotic process","3/262","34/6818",0.140761940527783,0.507725045950213,0.456054904011067,"CCL2/FGA/FGG",3
"GO:0061572","GO:0061572","actin filament bundle organization","6/262","92/6818",0.141826548785033,0.510970910953741,0.458970443956209,"S100A10/PFN1/RAC1/ACTG1/PLS3/EZR",6
"GO:0016052","GO:0016052","carbohydrate catabolic process","5/262","72/6818",0.142391904100517,0.512412629373322,0.460265441633983,"GAPDH/PGK1/ENO1/LDHA/TPI1",5
"GO:0008015","GO:0008015","blood circulation","12/262","221/6818",0.142907543144376,0.513318540565412,0.461079160092519,"FGA/CALCA/FGG/AGER/APOE/GPX1/SCNN1A/SCNN1B/HSP90AA1/CHGA/ATP1B1/COL1A2",12
"GO:2000116","GO:2000116","regulation of cysteine-type endopeptidase activity","8/262","134/6818",0.143301366805268,0.513318540565412,0.461079160092519,"IFI6/DAP/GPX1/RACK1/S100A9/AQP1/RPS3/F3",8
"GO:0030038","GO:0030038","contractile actin filament bundle assembly","4/262","53/6818",0.145306674601969,0.513318540565412,0.461079160092519,"S100A10/PFN1/RAC1/ACTG1",4
"GO:0030968","GO:0030968","endoplasmic reticulum unfolded protein response","4/262","53/6818",0.145306674601969,0.513318540565412,0.461079160092519,"AGR2/HSPA5/RACK1/XBP1",4
"GO:0032642","GO:0032642","regulation of chemokine production","4/262","53/6818",0.145306674601969,0.513318540565412,0.461079160092519,"GSTP1/AGER/ALOX15B/EGR1",4
"GO:0043149","GO:0043149","stress fiber assembly","4/262","53/6818",0.145306674601969,0.513318540565412,0.461079160092519,"S100A10/PFN1/RAC1/ACTG1",4
"GO:0045445","GO:0045445","myoblast differentiation","4/262","53/6818",0.145306674601969,0.513318540565412,0.461079160092519,"ZFP36L1/SDC1/GPX1/LGALS1",4
"GO:0120034","GO:0120034","positive regulation of plasma membrane bounded cell projection assembly","4/262","53/6818",0.145306674601969,0.513318540565412,0.461079160092519,"HSP90AA1/BRK1/PFN1/RAC1",4
"GO:0061061","GO:0061061","muscle structure development","16/262","312/6818",0.145354220506332,0.513318540565412,0.461079160092519,"ZFP36L1/IGFBP5/SDC1/KRT19/COL3A1/BASP1/GPX1/XBP1/ACTG1/YBX1/PLD3/LGALS1/H3-3B/VAMP5/CD164/EGR1",16
"GO:0045861","GO:0045861","negative regulation of proteolysis","11/262","200/6818",0.146810765786878,0.513318540565412,0.461079160092519,"GAPDH/TIMP1/WFDC2/IFI6/SPINK1/RPL5/RPL11/PEBP1/GPX1/EFNA1/AQP1",11
"GO:0071453","GO:0071453","cellular response to oxygen levels","6/262","93/6818",0.147060683325606,0.513318540565412,0.461079160092519,"PGK1/ZFP36L1/ENO1/MALAT1/AQP1/EGR1",6
"GO:0009743","GO:0009743","response to carbohydrate","7/262","114/6818",0.148318723191032,0.513318540565412,0.461079160092519,"ZFP36L1/HLA-DRB1/AGER/GPX1/RACK1/XBP1/EGR1",7
"GO:0001678","GO:0001678","cellular glucose homeostasis","5/262","73/6818",0.148392857949904,0.513318540565412,0.461079160092519,"HLA-DRB1/AGER/GPX1/RACK1/XBP1",5
"GO:0030307","GO:0030307","positive regulation of cell growth","5/262","73/6818",0.148392857949904,0.513318540565412,0.461079160092519,"S100A9/PRSS2/CRABP2/H3-3B/KRT17",5
"GO:2001243","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","5/262","73/6818",0.148392857949904,0.513318540565412,0.461079160092519,"ENO1/GPX1/HSPB1/XBP1/MUC1",5
"GO:0002287","GO:0002287","alpha-beta T cell activation involved in immune response","3/262","35/6818",0.149848180459408,0.513318540565412,0.461079160092519,"HLA-DRA/HLA-DRB1/ANXA1",3
"GO:0002293","GO:0002293","alpha-beta T cell differentiation involved in immune response","3/262","35/6818",0.149848180459408,0.513318540565412,0.461079160092519,"HLA-DRA/HLA-DRB1/ANXA1",3
"GO:0002294","GO:0002294","CD4-positive, alpha-beta T cell differentiation involved in immune response","3/262","35/6818",0.149848180459408,0.513318540565412,0.461079160092519,"HLA-DRA/HLA-DRB1/ANXA1",3
"GO:0002763","GO:0002763","positive regulation of myeloid leukocyte differentiation","3/262","35/6818",0.149848180459408,0.513318540565412,0.461079160092519,"ZFP36L1/HLA-DRB1/TYROBP",3
"GO:0006984","GO:0006984","ER-nucleus signaling pathway","3/262","35/6818",0.149848180459408,0.513318540565412,0.461079160092519,"AGR2/HSPA5/XBP1",3
"GO:0032418","GO:0032418","lysosome localization","3/262","35/6818",0.149848180459408,0.513318540565412,0.461079160092519,"CHGA/GRP/VAMP8",3
"GO:0048857","GO:0048857","neural nucleus development","3/262","35/6818",0.149848180459408,0.513318540565412,0.461079160092519,"BASP1/HSPA5/ASCL1",3
"GO:0070849","GO:0070849","response to epidermal growth factor","3/262","35/6818",0.149848180459408,0.513318540565412,0.461079160092519,"ZFP36L1/EEF1A1/ASCL1",3
"GO:1900047","GO:1900047","negative regulation of hemostasis","3/262","35/6818",0.149848180459408,0.513318540565412,0.461079160092519,"FGA/FGG/APOE",3
"GO:1904036","GO:1904036","negative regulation of epithelial cell apoptotic process","3/262","35/6818",0.149848180459408,0.513318540565412,0.461079160092519,"MDK/FGA/FGG",3
"GO:1990849","GO:1990849","vacuolar localization","3/262","35/6818",0.149848180459408,0.513318540565412,0.461079160092519,"CHGA/GRP/VAMP8",3
"GO:0120035","GO:0120035","regulation of plasma membrane bounded cell projection organization","15/262","291/6818",0.150532222768427,0.513318540565412,0.461079160092519,"B2M/MDK/GRN/SPP1/HSPA5/APOE/HSP90AA1/BRK1/PFN1/EFNA1/S100A9/RAC1/CRABP2/SNX3/EZR",15
"GO:0002507","GO:0002507","tolerance induction","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"HLA-B/HLA-E",2
"GO:0003401","GO:0003401","axis elongation","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"TRIM28/AREG",2
"GO:0010659","GO:0010659","cardiac muscle cell apoptotic process","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"MDK/HSP90AA1",2
"GO:0010758","GO:0010758","regulation of macrophage chemotaxis","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"MDK/CXCL17",2
"GO:0021879","GO:0021879","forebrain neuron differentiation","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"B2M/ASCL1",2
"GO:0031279","GO:0031279","regulation of cyclase activity","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"CALCA/GNAS",2
"GO:0031579","GO:0031579","membrane raft organization","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"S100A10/NAXE",2
"GO:0032814","GO:0032814","regulation of natural killer cell activation","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"TYROBP/HLA-E",2
"GO:0032928","GO:0032928","regulation of superoxide anion generation","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"GSTP1/TYROBP",2
"GO:0034367","GO:0034367","protein-containing complex remodeling","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"APOE/PLA2G2A",2
"GO:0034368","GO:0034368","protein-lipid complex remodeling","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"APOE/PLA2G2A",2
"GO:0034369","GO:0034369","plasma lipoprotein particle remodeling","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"APOE/PLA2G2A",2
"GO:0043507","GO:0043507","positive regulation of JUN kinase activity","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"AGER/RPS3",2
"GO:0048009","GO:0048009","insulin-like growth factor receptor signaling pathway","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"IGFBP5/IGFBP4",2
"GO:0051154","GO:0051154","negative regulation of striated muscle cell differentiation","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"XBP1/YBX1",2
"GO:0070570","GO:0070570","regulation of neuron projection regeneration","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"GRN/SPP1",2
"GO:0150117","GO:0150117","positive regulation of cell-substrate junction organization","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"S100A10/RAC1",2
"GO:1901031","GO:1901031","regulation of response to reactive oxygen species","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"H19/RACK1",2
"GO:1903649","GO:1903649","regulation of cytoplasmic transport","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"SNX3/EZR",2
"GO:1903902","GO:1903902","positive regulation of viral life cycle","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"HLA-DRB1/LGALS1",2
"GO:1905523","GO:1905523","positive regulation of macrophage migration","2/262","18/6818",0.150586676955037,0.513318540565412,0.461079160092519,"MDK/CXCL17",2
"GO:0007160","GO:0007160","cell-matrix adhesion","8/262","136/6818",0.151967404748585,0.517027562962864,0.464410722848654,"S100A10/COL3A1/FGA/FGG/CD63/RAC1/ACTG1/BCAM",8
"GO:0008625","GO:0008625","extrinsic apoptotic signaling pathway via death domain receptors","4/262","54/6818",0.152508130274346,0.517027562962864,0.464410722848654,"LGALS3/FGA/FGG/GPX1",4
"GO:0014812","GO:0014812","muscle cell migration","4/262","54/6818",0.152508130274346,0.517027562962864,0.464410722848654,"MDK/IGFBP5/ANXA1/S100A11",4
"GO:0032602","GO:0032602","chemokine production","4/262","54/6818",0.152508130274346,0.517027562962864,0.464410722848654,"GSTP1/AGER/ALOX15B/EGR1",4
"GO:0048145","GO:0048145","regulation of fibroblast proliferation","4/262","54/6818",0.152508130274346,0.517027562962864,0.464410722848654,"S100A6/GSTP1/BRK1/AQP1",4
"GO:0051051","GO:0051051","negative regulation of transport","11/262","202/6818",0.153926838238764,0.521267524253979,0.468219191930599,"LGALS3/SPINK1/APOE/ANXA1/RACK1/RAC1/CHGA/GRP/VAMP8/OAZ1/SNX3",11
"GO:2001056","GO:2001056","positive regulation of cysteine-type endopeptidase activity","5/262","74/6818",0.154499787969912,0.522637232587423,0.469449507841769,"DAP/RACK1/S100A9/RPS3/F3",5
"GO:0006826","GO:0006826","iron ion transport","3/262","36/6818",0.159117128346002,0.533025196683908,0.478780310028269,"B2M/FTL/LCN2",3
"GO:0006942","GO:0006942","regulation of striated muscle contraction","3/262","36/6818",0.159117128346002,0.533025196683908,0.478780310028269,"HSP90AA1/CHGA/ATP1B1",3
"GO:0030865","GO:0030865","cortical cytoskeleton organization","3/262","36/6818",0.159117128346002,0.533025196683908,0.478780310028269,"RAC1/RHOB/EZR",3
"GO:0032481","GO:0032481","positive regulation of type I interferon production","3/262","36/6818",0.159117128346002,0.533025196683908,0.478780310028269,"GAPDH/ISG15/HSP90AA1",3
"GO:0032729","GO:0032729","positive regulation of interferon-gamma production","3/262","36/6818",0.159117128346002,0.533025196683908,0.478780310028269,"HLA-A/ISG15/HLA-DPA1",3
"GO:0050819","GO:0050819","negative regulation of coagulation","3/262","36/6818",0.159117128346002,0.533025196683908,0.478780310028269,"FGA/FGG/APOE",3
"GO:0060996","GO:0060996","dendritic spine development","3/262","36/6818",0.159117128346002,0.533025196683908,0.478780310028269,"ARF4/APOE/EFNA1",3
"GO:0072577","GO:0072577","endothelial cell apoptotic process","3/262","36/6818",0.159117128346002,0.533025196683908,0.478780310028269,"CCL2/FGA/FGG",3
"GO:1903051","GO:1903051","negative regulation of proteolysis involved in protein catabolic process","3/262","36/6818",0.159117128346002,0.533025196683908,0.478780310028269,"RPL5/RPL11/EFNA1",3
"GO:0043434","GO:0043434","response to peptide hormone","12/262","226/6818",0.159810144077883,0.53430063753652,0.479925951867782,"TIMP1/ZFP36L1/IGFBP5/COL3A1/BSG/SPINK1/ANXA1/SCNN1A/SCNN1B/XBP1/AREG/EGR1",12
"GO:1905897","GO:1905897","regulation of response to endoplasmic reticulum stress","4/262","55/6818",0.159842357070887,0.53430063753652,0.479925951867782,"AGR2/HSPA5/RACK1/XBP1",4
